Date,failure_prob,topicid37_Power_preprocessed_Trend,topicid37_Voltage_preprocessed_Trend,topicid37_Current_preprocessed_Trend
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-2.0446342640750226,-43.10420741022597,-0.1594183648639714
03/02/2025,1,-1.3588653458700621,-25.2514509534477,-0.16898424575323612
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.3238459531522286,-19.680814570627568,-0.10198527979063522
03/02/2025,1,-0.2350369452346106,-6.317822602164462,-0.19960182721119363
03/02/2025,0,0,0,0
03/02/2025,1,-4.3476139517392145,-0.6690993933911855,-0.005087471250139447
03/02/2025,1,-1.487641335825432,-48.2008021388232,-0.06042078926205577
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-2.7999641301585285,-23.76941321514559,-0.06757608804038995
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-4.026110360459974,-10.58577434977844,-0.014079701778374892
03/02/2025,0,0,0,0
03/02/2025,1,-0.2350369452346106,-6.317822602164462,-0.19960182721119363
03/02/2025,1,-3.4023762756940386,-35.3279398855885,-0.1687583778617186
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.0464541753801422,-11.003789319564348,-0.02155985657293219
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.487641335825432,-48.2008021388232,-0.06042078926205577
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-4.061855727536553,-46.03296934897343,-0.05252317839027598
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.8023706179182133,-22.113238962973853,-0.027973742123591883
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-3.4023762756940386,-35.3279398855885,-0.1687583778617186
03/02/2025,1,-1.8023706179182133,-22.113238962973853,-0.027973742123591883
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.564541545922658,-16.533114590895764,-0.19865345548006735
03/02/2025,0,0,0,0
03/02/2025,1,-0.8964891917394557,-9.706394571727337,-0.04290938770769012
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.4395377680401409,-31.840222862662767,-0.0951188216427995
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.1903519047558118,-29.47008119341404,-0.011400542417358245
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-2.0446342640750226,-43.10420741022597,-0.1594183648639714
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.3305818525437618,-28.913631480110677,-0.2129334361230404
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-4.070468886309388,-6.097782642758119,-0.07999286321197879
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-3.4536759945506788,-28.84377575883999,-0.12253327369201676
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.3238459531522286,-19.680814570627568,-0.10198527979063522
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-3.952849645672786,-2.3758678848422647,-0.1184778838575899
03/02/2025,1,-3.4023762756940386,-35.3279398855885,-0.1687583778617186
03/02/2025,1,-3.7412080153811424,-3.010924332708022,-0.20752059048224766
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.729630958006255,-37.19106117242468,-0.08139719795481487
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-4.061855727536553,-46.03296934897343,-0.05252317839027598
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-3.619546862074322,-44.472267514404415,-0.14237491815010295
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-2.3381780456454555,-21.97682724828412,-0.06660858434041725
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-0.048761234907138906,-12.402739043775654,-0.1924394998633581
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-3.1534423553388633,-38.00747795000807,-0.054060947264557374
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.3019133509374812,-9.605390568079017,-0.017466208386035853
03/02/2025,0,0,0,0
03/02/2025,1,-3.791915353719113,-8.197529237304892,-0.052986542959584576
03/02/2025,1,-0.7868390678990336,-26.523545214149173,-0.18997290422713348
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-3.2285002783354084,-37.837976004826686,-0.14899054827730784
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-0.35174519476905,-43.456840508604756,-0.1669196061539554
03/02/2025,0,0,0,0
03/02/2025,1,-4.070468886309388,-6.097782642758119,-0.07999286321197879
03/02/2025,0,0,0,0
03/02/2025,1,-0.35174519476905,-43.456840508604756,-0.1669196061539554
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-3.4232382480991257,-25.677406916454157,-0.18537771063906516
03/02/2025,0,0,0,0
03/02/2025,1,-4.3476139517392145,-0.6690993933911855,-0.005087471250139447
03/02/2025,1,-2.7999641301585285,-23.76941321514559,-0.06757608804038995
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-0.003687401067854701,-18.703213784210593,-0.1910761133233238
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-1.4395377680401409,-31.840222862662767,-0.0951188216427995
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-2.3710405786653808,-28.434792242930115,-0.05616710177490161
03/02/2025,1,-4.026110360459974,-10.58577434977844,-0.014079701778374892
03/02/2025,1,-0.7868390678990336,-26.523545214149173,-0.18997290422713348
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,-0.2350369452346106,-6.317822602164462,-0.19960182721119363
03/02/2025,1,-3.1534423553388633,-38.00747795000807,-0.054060947264557374
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
